schule,schuleLabel,koord,adresse,gründung,jedeschuleID,schulnummer,ausbildungsberufe,teil_von,besteht_aus,website
http://www.wikidata.org/entity/Q15129961,Staatliche Berufsbildende Schule für Wirtschaft und Soziales Altenburg,Point(12.44833333 50.98166667),"Platanenstraße 3, 04600 Altenburg",1865-01-01T00:00:00Z,TH-60003,,Altenpfleger [–]; Verkäufer [62102]; Erzieher [–]; Fachlagerist [51312]; Fachkraft für Lagerlogistik [51312]; Kaufmann für Spedition und Logistikdienstleistung [51622]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Kaufmann für Büromanagement [71402]; Kinderpfleger [–]; Kaufmann im Einzelhandel [62102010]; Heilerziehungspfleger [–]; Fachpraktiker im Verkauf [62102]; Fachpraktiker für Lagerlogistik [51312090],,,http://www.sbbs-wiso.de/
http://www.wikidata.org/entity/Q15132081,Theodor-Heuss-Schule (Offenbach am Main),Point(8.78083 50.09192),"Buchhügelallee 86, 63071 Offenbach am Main",1884-01-01T00:00:00Z,HE-6313,,Rechtsanwalts- und Notarfachangestellter [73112]; Zahnmedizinischer Fachangestellter [81112]; Industriekaufmann [71302]; Personaldienstleistungskaufmann [71522]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Medizinischer Fachangestellter [81102],,,http://www.ths.schulen-offenbach.de/
http://www.wikidata.org/entity/Q17123039,Erasmus-Kittler-Schule,Point(8.6372 49.87234),"Mornewegstraße 20, 64293 Darmstadt",1959-01-01T00:00:00Z,HE-6282,,"Zerspanungsmechaniker [24232]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Kfz-Mechatroniker [25212]; Fachkraft für Metalltechnik [25112]; Feinwerkmechaniker [24512]; Industriemechaniker [25102]; Karosserie- und Fahrzeugbaumechaniker [25212]; Konstruktionsmechaniker [24412]; Technischer Produktdesigner [27212]; Technischer Systemplaner [27212]; Kunststoff- und Kautschuktechnologe [22102]; Werkzeugmechaniker [24522]; Mechatroniker [26112]; Metallbauer [24412]; Fachpraktiker für Metallbau [24412110]; Land- und Baumaschinenmechatroniker [25222]",,,http://www.erasmus-kittler-schule.de/
http://www.wikidata.org/entity/Q17126894,Peter-Behrens-Schule,Point(8.6385 49.8727),"Mornewegstraße 18, 64293 Darmstadt",1966-01-01T00:00:00Z,HE-6281,,"Zimmerer [33322320]; Koch [29302]; Bäcker [29222310]; Maler und Lackierer [33212]; Maurer [32122]; Fleischer [29232]; Dachdecker [32142330]; Ausbaufacharbeiter [33302320]; Fachkraft für Gastronomie [63302]; Fachkraft für Lebensmitteltechnik [29202]; Fachmann für Systemgastronomie [63312]; Fachverkäufer im Lebensmittelhandwerk (Bäckerei) [62312331]; Fahrzeuglackierer [22212]; Buchbinder [23422]; Medientechnologe Druckverarbeitung [23422]; Hochbaufacharbeiter [32102]; Medientechnologe Siebdruck [23412]; Maschinen- und Anlagenführer [25122]; Mediengestalter Digital und Print [61122]; Medientechnologe Druck [23412]; Fachverkäufer im Lebensmittelhandwerk (Fleischerei) [62322313]; Konditor [29222]; Bauzeichner [27212]; Fliesen-, Platten- und Mosaikleger [33112]; Hotelfachmann [63222]; Fachverkäufer im Lebensmittelhandwerk (Konditorei) [62312332]; Fachkraft für Restaurants und Veranstaltungsgastronomie [63302100]; Raumausstatter [93232]",,Peter-Behrens-Schule Außenstelle Martin-Buber-Straße,http://www.peter-behrens-schule.de/
http://www.wikidata.org/entity/Q17353517,Elinor-Ostrom-Schule,Point(13.441944444 52.545555555),"Mandelstr. 6/8, 10409 Berlin",1998-01-01T00:00:00Z,BE-03B07,,Sport- und Fitnesskaufmann [63122]; Sportfachmann [63122]; Kaufmann für Büromanagement [71402],,Elinor-Ostrom-Schule Schulteil Driesener Straße; Elinor-Ostrom-Schule Schulteil Pappelallee,http://www.oszeos.de
http://www.wikidata.org/entity/Q18286350,Karl Kübel Schule,Point(8.60502778 49.67302778),"Berliner Ring 34–38, 64625 Bensheim",1874-01-01T00:00:00Z,HE-6278,,Zahnmedizinischer Fachangestellter [81112]; Verkäufer [62102]; Bankkaufmann [72112010]; IT-Systemelektroniker [26312]; Kaufmann für IT-System-Management [43232]; Kaufmann für Groß- und Außenhandelsmanagement [61212]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010]; Kaufmann im E-Commerce [61282]; Kaufmann für Digitalisierungsmanagement [43112]; Fachinformatiker für Anwendungsentwicklung [43412]; Fachinformatiker Digitale Vernetzung [43112]; Fachinformatiker für Systemintegration [43102]; Fachinformatiker Daten- und Prozessanalyse [43112]; Medizinischer Fachangestellter [81102]; Verwaltungsfachangestellter [73202],,,http://www.karlkuebelschule.de
http://www.wikidata.org/entity/Q134357446,Kerschensteinerschule Stuttgart,Point(9.1563273 48.813904),"Steiermärker Str. 72, 70469 Stuttgart",,BW-04101497,,Umwelttechnologe für Abwasserbewirtschaftung [34312]; Umwelttechnologe für Rohrleitungsnetze und Industrieanlagen [34312]; Fahrzeuginterieur-Mechaniker [28242]; Raumausstatter [93232]; Textil- und Modeschneider [28222]; Änderungsschneider [28222]; Pharmazeutisch-technischer Assistent [–]; Chemikant [41312]; Chemisch-Technischer Assistent [–]; Orthopädieschuhmacher [28332320]; Technischer Konfektionär [28232]; Umwelttechnologe für Wasserversorgung [34312]; Produktionsfachkraft Chemie [41312040]; Sattler [28322]; Polster- und Dekorationsnäher [28232]; Umweltschutztechnischer Assistent [–]; Werkstoffprüfer [41422049]; Chemielaborant [41322010]; Physikalisch-technischer Assistent [–]; Orthopädietechnik-Mechaniker [82512]; Maßschneider [28222]; Modist [28222]; Polsterer [28242]; Umwelttechnologe für Kreislauf- und Abfallwirtschaft [34332],,,http://www.kerschensteinerschule.de
http://www.wikidata.org/entity/Q134357973,Kaufmännische Schule Ehingen,Point(9.724589 48.281983),"Schulgasse 11, 89584 Ehingen (Donau)",,BW-04101011,,Industriekaufmann [71302]; Kaufmann für Büromanagement [71402]; Kaufmann im Einzelhandel [62102010],,,https://www.ksehingen.de/
http://www.wikidata.org/entity/Q134358236,Gewerbeschule Bad Säckingen,Point(7.946208 47.5583254),"Rippolinger Str. 2, 79713 Bad Säckingen",,BW-04102179,,"Friseur [82312310]; Zimmerer [33322320]; Zerspanungsmechaniker [24232]; Maler und Lackierer [33212]; Tischler [22342350]; Maurer [32122]; Beton- und Stahlbetonbauer [32112]; Klempner [34202]; Feinwerkmechaniker [24512]; Holzmechaniker [22342]; Industriemechaniker [25102]; Konstruktionsmechaniker [24412]; Technischer Systemplaner [27212]; Werkzeugmechaniker [24522]; Stuckateur [33222]; Fliesen-, Platten- und Mosaikleger [33112]; Metallbauer [24412]",,,http://www.gwsbs.de
http://www.wikidata.org/entity/Q134358406,Gewerbeschule Villingen-Schwenningen,Point(8.4693999 48.066461),"Conrad-Heby-Str. 1, 78048 Villingen-Schwenningen",,BW-04102258,,"Friseur [82312310]; Zerspanungsmechaniker [24232]; Fleischer [29232]; Anlagenmechaniker für Sanitär-, Heizungs- und Klimatechnik [34212]; Kfz-Mechatroniker [25212]; Elektroniker für Betriebstechnik [26252310]; Elektroniker für Geräte und Systeme [26302]; Industriemechaniker [25102]; Werkzeugmechaniker [24522]; Fachverkäufer im Lebensmittelhandwerk (Fleischerei) [62322313]; Mechatroniker [26112]; Elektroniker der Fachrichtung Energie- und Gebäudetechnik [26212421]; Fachinformatiker für Anwendungsentwicklung [43412]; Fachinformatiker für Systemintegration [43102]",,,http://www.gewerbeschule-vs.de
