QID,schoolLabel,namedAfter
http://www.wikidata.org/entity/Q133853910,Alexandrine-Hegemann-Berufskolleg,Alexandrine Hegemann
http://www.wikidata.org/entity/Q133868391,Robert-Wetzlar-Berufskolleg,Robert Wetzlar
http://www.wikidata.org/entity/Q133868090,Hubertus-Schwartz-Berufskolleg,Hubertus Schwartz
http://www.wikidata.org/entity/Q133865239,Augustin-Violet-Schule,Augustin Violet
http://www.wikidata.org/entity/Q133876322,Hermann-Emanuel-Berufskolleg,Hermann Emanuel
http://www.wikidata.org/entity/Q133849135,Barbara-von-Sell-Berufskolleg,Barbara von Sell
http://www.wikidata.org/entity/Q133858988,Maria-Stemme-Berufskolleg der Stadt Bielefeld,Maria Stemme
http://www.wikidata.org/entity/Q133854746,Berufskolleg Vera Beckers,Vera Beckers
http://www.wikidata.org/entity/Q133868858,Katholisches Berufskolleg Johannes-Kessels-Akademie Essen,Johannes Kessels
http://www.wikidata.org/entity/Q133934581,Albert-Einstein-Schule Ettlingen,Albert Einstein
http://www.wikidata.org/entity/Q133974146,Ludwig-Erhard-Schule Schweinfurt,Ludwig Erhard
http://www.wikidata.org/entity/Q134083069,Ludwig-Erhard-Schule Fürth,Ludwig Erhard
http://www.wikidata.org/entity/Q134075167,Richard-von-Weizsäcker-Schule Öhringen,Richard von Weizsäcker
http://www.wikidata.org/entity/Q134030052,Berufliches Schulzentrum Anne Frank Schulteil Falkenstein/Vogtl.,Anne Frank
http://www.wikidata.org/entity/Q134030077,"Berufliches Schulzentrum für Wirtschaft, Gesundheit, Ernährung und Forstwirtschaft ""Anne Frank"" Plauen",Anne Frank
http://www.wikidata.org/entity/Q134030236,Berufliches Schulzentrum Anne Frank Schulteil Bad Reiboldsgrün,Anne Frank
http://www.wikidata.org/entity/Q134067381,Marie-Curie-Schule,Marie Curie
http://www.wikidata.org/entity/Q134070992,Max-Weber-Schule Sinsheim,Max Weber
http://www.wikidata.org/entity/Q134076501,Justus-von-Liebig-Schule Mannheim,Justus von Liebig
http://www.wikidata.org/entity/Q134082028,Justus-von-Liebig-Schule Göppingen,Justus von Liebig
http://www.wikidata.org/entity/Q134004676,Hans-Wilsdorf-Schule,Hans Wilsdorf
http://www.wikidata.org/entity/Q134070434,Alexander-Fleming-Schule,Alexander Fleming
http://www.wikidata.org/entity/Q134077490,Walter-Eucken-Schule Karlsruhe,Walter Eucken
http://www.wikidata.org/entity/Q134082060,Walter-Eucken-Gymnasium und Kaufmännische Schulen I,Walter Eucken
http://www.wikidata.org/entity/Q134081742,Carl-Benz-Schule Karlsruhe,Carl Benz
http://www.wikidata.org/entity/Q133934823,Heinrich-Hertz-Schule,Heinrich Hertz
http://www.wikidata.org/entity/Q134001501,Joseph-von-Fraunhofer-Schule,Joseph von Fraunhofer
http://www.wikidata.org/entity/Q134054257,Carl-Theodor-Schule,Karl Theodor
http://www.wikidata.org/entity/Q133955397,"Gottlieb-Daimler-Schule 2, Standort Böblingen",Gottlieb Daimler
http://www.wikidata.org/entity/Q134029250,Gottlieb-Daimler-Schule 1,Gottlieb Daimler
http://www.wikidata.org/entity/Q134029275,Gottlieb-Daimler-Schule 2,Gottlieb Daimler
http://www.wikidata.org/entity/Q134077361,Geschwister-Scholl-Schule Leutkirch,Hans Scholl; Sophie Scholl
http://www.wikidata.org/entity/Q134068397,Werner-Siemens-Schule Stuttgart,Werner von Siemens
http://www.wikidata.org/entity/Q134076408,Werner-von-Siemens-Schule Mannheim,Werner von Siemens
http://www.wikidata.org/entity/Q134029978,"Berufliches Schulzentrum ""Konrad Zuse""",Konrad Zuse
http://www.wikidata.org/entity/Q133934693,Carl-Hofer-Schule,Karl Hofer
http://www.wikidata.org/entity/Q134065942,Maria-Merian-Schule,Maria Sibylla Merian
http://www.wikidata.org/entity/Q133973457,Ludwig-Bölkow-Schule,Ludwig Bölkow
http://www.wikidata.org/entity/Q134070685,Erwin-Teufel-Schule,Erwin Teufel
http://www.wikidata.org/entity/Q134083704,"Berufliches Schulzentrum für Wirtschaft ""Prof. Dr. Zeigner""",Erich Zeigner
http://www.wikidata.org/entity/Q134070082,Hedwig-Dohm-Schule Stuttgart,Hedwig Dohm
http://www.wikidata.org/entity/Q134069533,Johann-Friedrich-von-Cotta-Schule Stuttgart,Johann Friedrich Cotta
http://www.wikidata.org/entity/Q133980233,Martin-Segitz-Schule,Martin Segitz
http://www.wikidata.org/entity/Q133934309,Helene-Lange-Schule Außenstelle Gengenbach,Helene Lange
http://www.wikidata.org/entity/Q134075353,Helene-Lange-Schule,Helene Lange
http://www.wikidata.org/entity/Q134076626,Helene-Lange-Schule Mannheim,Helene Lange
http://www.wikidata.org/entity/Q133934636,Zeppelin-Gewerbeschule,Ferdinand von Zeppelin
http://www.wikidata.org/entity/Q133934755,Elisabeth-Selbert-Schule Karlsruhe,Elisabeth Selbert
http://www.wikidata.org/entity/Q134029169,Berufliches Schulzentrum Oskar-von-Miller  Schwandorf I,Oskar von Miller
http://www.wikidata.org/entity/Q134082011,Carl-Bosch-Schule,Carl Bosch
http://www.wikidata.org/entity/Q134082137,Edith-Stein-Schule Freiburg im Breisgau,Edith Stein
http://www.wikidata.org/entity/Q134029336,Bertha-Benz-Schule,Bertha Benz
http://www.wikidata.org/entity/Q134083327,Ruth-Pfau-Schule,Ruth Pfau
http://www.wikidata.org/entity/Q133934675,Carl-Engler-Schule,Carl Engler
http://www.wikidata.org/entity/Q134075575,Philipp-Matthäus-Hahn-Schule Nürtingen,Philipp Matthäus Hahn
http://www.wikidata.org/entity/Q134082616,"Berufliches Schulzentrum ""Friedrich Siemens"" Pirna",Friedrich Siemens
http://www.wikidata.org/entity/Q134083479,Richard-Hartmann-Schule,Richard Hartmann
http://www.wikidata.org/entity/Q134082285,Helene-Weber-Schule Bad Saulgau,Helene Weber
http://www.wikidata.org/entity/Q134081957,Christiane-Herzog-Schule,Christiane Herzog
http://www.wikidata.org/entity/Q133959433,Hans-Glas-Schule,Hans Glas
http://www.wikidata.org/entity/Q134082785,Karl-Heine-Schule Leipzig,Carl Erdmann Heine
http://www.wikidata.org/entity/Q134029839,Arwed-Rossbach-Schule,Arwed Roßbach
http://www.wikidata.org/entity/Q134083302,Henriette-Goldschmidt-Schule,Henriette Goldschmidt
http://www.wikidata.org/entity/Q133934659,Marie-Baum-Schule,Marie Baum
http://www.wikidata.org/entity/Q133980429,Franz-Oberthür-Schule,Franz Oberthür
http://www.wikidata.org/entity/Q133999236,Georg-Schäfer-Schule,Georg Schäfer
http://www.wikidata.org/entity/Q134071635,Robert-Gerwig-Schule Singen,Robert Gerwig
http://www.wikidata.org/entity/Q134082706,Felix-Bloch-Schule,Felix Bloch
http://www.wikidata.org/entity/Q134083623,"Berufliches Schulzentrum Gesundheit und Sozialwesen ""Karl August Lingner""",Karl August Lingner
http://www.wikidata.org/entity/Q133934610,Walther-Rathenau-Gewerbeschule,Walther Rathenau
http://www.wikidata.org/entity/Q134083366,Robert-Blum-Schule,Robert Blum
http://www.wikidata.org/entity/Q134082811,"Berufliches Schulzentrum Delitzsch ""Dr. Hermann Schulze-Delitzsch""",Hermann Schulze-Delitzsch
http://www.wikidata.org/entity/Q134071216,Friedrich-Hecker-Schule,Friedrich Hecker
http://www.wikidata.org/entity/Q134068005,Hans-Thoma-Schule,Hans Thoma
http://www.wikidata.org/entity/Q134005681,Bebo-Wager-Berufsschule,Bebo Wager
http://www.wikidata.org/entity/Q134067578,Constantin-Vanotti-Schule,Constantin Vanotti
http://www.wikidata.org/entity/Q134004906,Josef-Greising-Schule,Joseph Greissing
http://www.wikidata.org/entity/Q134054243,Ehrhart-Schott-Schule,Ehrhart Schott
http://www.wikidata.org/entity/Q134004346,Mathias-von-Flurl-Schule,Mathias von Flurl
http://www.wikidata.org/entity/Q134082313,Eduard-Breuninger-Schule Backnang,Eduard Breuninger
http://www.wikidata.org/entity/Q134082757,"Berufliches Schulzentrum für Wirtschaft ""Franz Ludwig Gehe""",Franz Ludwig Gehe
http://www.wikidata.org/entity/Q134075872,Fritz-Ruoff-Schule Nürtingen,Fritz Ruoff
http://www.wikidata.org/entity/Q134065703,Hans-Freudenberg-Schule,Hans Freudenberg
http://www.wikidata.org/entity/Q134083520,"Berufliches Schulzentrum Großenhain ""Karl Preusker""",Karl Benjamin Preusker
http://www.wikidata.org/entity/Q134081980,Maria-von-Linden-Schule Heidenheim a.d. Brenz,Maria von Linden
http://www.wikidata.org/entity/Q134077188,Mathilde-Planck-Schule Ludwigsburg,Mathilde Planck
http://www.wikidata.org/entity/Q134081875,Peter-Bruckmann-Schule,Peter Bruckmann
http://www.wikidata.org/entity/Q134029868,Susanna-Eger-Schule,Susanna Eger
http://www.wikidata.org/entity/Q134065202,Sibilla-Egen-Schule,Sibilla Egen
http://www.wikidata.org/entity/Q134072291,Alfons-Kern-Schule,Alfons Kern
http://www.wikidata.org/entity/Q134076292,Max-Hachenburg-Schule Mannheim,Max Hachenburg
http://www.wikidata.org/entity/Q134004476,Marianne-Rosenbaum-Schule,Marianne Rosenbaum
http://www.wikidata.org/entity/Q134083133,Klara-Oppenheimer-Schule,Klara Oppenheimer
http://www.wikidata.org/entity/Q134005514,Heinrich-Thein-Schule,Heinrich Thein
